analysis,status,tumor_lineage,k,events_total,n_total,pooled_rate_random,pooled_rate_lo,pooled_rate_hi,prediction_lo,prediction_hi,tau2_logit,i2_percent,q,endpoint_taxonomy,timing_architecture,v2_quantitative_role,v2_interpretation_boundary,crude_exact_binomial_lo_percent,crude_exact_binomial_hi_percent,display_estimate
treatment_related_high_grade_by_lineage,pooled,lymphoma,4,75,462,19.093929900919107,6.051603123130772,46.371034783972256,1.3605103229087523,80.15125996671986,1.6602406344703289,95.20590310567576,62.57695799915352,,,sensitivity_only,treatment-related high-grade AE is not a strict inflammatory irAE endpoint,12.98820854621407,19.918729799386217,19.1% (95% CI 6.1-46.4%; PI 1.4-80.2%)
treatment_related_high_grade_by_lineage,pooled,solid,14,2237,5130,31.08477348554629,20.191881139760856,44.572137537137266,4.6871204936442075,80.5342872878986,1.1915234698646568,98.72797544998294,1021.992853819174,,,sensitivity_only,treatment-related high-grade AE is not a strict inflammatory irAE endpoint,42.24345639625487,44.97630032431655,31.1% (95% CI 20.2-44.6%; PI 4.7-80.5%)
high_grade_by_endpoint_taxonomy_and_lineage,pooled,solid,8,1804,3162,60.1619893943894,44.40345696995895,74.062935399142,18.464700290749605,90.96701208552584,0.831535035477374,98.51447143671436,471.2127503302704,context only,,context_only_not_primary,context-only rows are not an endpoint-compatible pooled clinical endpoint,55.305487555387934,58.78644809647744,60.2% (95% CI 44.4-74.1%; PI 18.5-91.0%)
high_grade_by_endpoint_taxonomy_and_lineage,pooled,lymphoma,3,9,112,9.141341037282864,3.8939501171278623,19.989226557907063,2.4903896764086193,28.384175704556977,0.2739671577019781,41.575914632689475,3.4232457169437196,immune-mediated AE/imAE,,endpoint_stratified_sensitivity,endpoint-compatible within stratum but not definitive lineage-wide strict irAE inference,3.7403241738086965,14.706629837571002,9.1% (95% CI 3.9-20.0%; PI 2.5-28.4%)
high_grade_by_endpoint_taxonomy_and_lineage,pooled,lymphoma,4,75,462,19.093929900919107,6.051603123130772,46.371034783972256,1.3605103229087523,80.15125996671986,1.6602406344703289,95.20590310567576,62.57695799915352,treatment-related AE,,endpoint_stratified_sensitivity,endpoint-compatible within stratum but not definitive lineage-wide strict irAE inference,12.98820854621407,19.918729799386217,19.1% (95% CI 6.1-46.4%; PI 1.4-80.2%)
high_grade_by_endpoint_taxonomy_and_lineage,pooled,solid,14,2237,5130,31.08477348554629,20.191881139760856,44.572137537137266,4.6871204936442075,80.5342872878986,1.1915234698646568,98.72797544998294,1021.992853819174,treatment-related AE,,endpoint_stratified_sensitivity,endpoint-compatible within stratum but not definitive lineage-wide strict irAE inference,42.24345639625487,44.97630032431655,31.1% (95% CI 20.2-44.6%; PI 4.7-80.5%)
treatment_related_high_grade_by_timing_architecture,not pooled: k<2,,1,30,51,,,,,,,,,,ICI_before_chemo,not_pooled,k<2 or insufficient compatible rows,44.169282776746115,72.41570394874148,not pooled
treatment_related_high_grade_by_timing_architecture,pooled,,5,1568,2473,58.919722170973365,44.00988222175543,72.35333533759291,25.044119697002248,86.02726171222471,0.4583908242459305,97.85297570791724,186.3043662221327,,concurrent_chemo,architecture_sensitivity,architecture association only; exact timing causality not estimable,61.47107351682551,65.30667030542251,58.9% (95% CI 44.0-72.4%; PI 25.0-86.0%)
treatment_related_high_grade_by_timing_architecture,pooled,,12,714,3068,16.954359501225397,10.181825292846666,26.883376271763023,2.4992129055772447,61.91999762786084,1.030750921011383,97.36190410007248,416.9674044185523,,no_chemo_context,architecture_sensitivity,architecture association only; exact timing causality not estimable,21.78697416867204,24.809136003246802,17.0% (95% CI 10.2-26.9%; PI 2.5-61.9%)
